triplet_corr_orig,triplet_corr_model,triplet_corr_independent
-0.18000000000000005,-0.2047200000000002,-0.1516689440000003
-0.20200000000000007,-0.21534000000000017,-0.14775129600000028
-0.2240000000000001,-0.21274000000000026,-0.1539076000000003
-0.2540000000000001,-0.2287000000000002,-0.14551264000000028
-0.2140000000000001,-0.20574000000000017,-0.1499899520000003
-0.21400000000000008,-0.23714000000000032,-0.14551264000000028
-0.1960000000000001,-0.20022000000000018,-0.13823700800000027
-0.2220000000000001,-0.24054000000000034,-0.1578252480000003
-0.2240000000000001,-0.2350600000000003,-0.16845886400000035
-0.2080000000000001,-0.23804000000000025,-0.1516689440000003
-0.21600000000000008,-0.21204000000000023,-0.1505285760000003
-0.2300000000000001,-0.19476000000000016,-0.15680060000000032
-0.2320000000000001,-0.22380000000000025,-0.1482478400000003
-0.21200000000000008,-0.22036000000000025,-0.1528093120000003
-0.2560000000000001,-0.23408000000000032,-0.1482478400000003
-0.23800000000000013,-0.20632000000000017,-0.14083544800000028
-0.2360000000000001,-0.23136000000000023,-0.16079188800000033
-0.20600000000000007,-0.2418000000000003,-0.17162538400000035
-0.19400000000000006,-0.21662000000000026,-0.1545198640000003
-0.20800000000000007,-0.20866000000000018,-0.1527504000000003
-0.2420000000000001,-0.19834000000000016,-0.14441856000000028
-0.2540000000000001,-0.21246000000000018,-0.1488622080000003
-0.1980000000000001,-0.2110200000000002,-0.14441856000000028
-0.19200000000000006,-0.17878000000000016,-0.13719763200000026
-0.2300000000000001,-0.24150000000000024,-0.15663859200000033
-0.2400000000000001,-0.22066000000000024,-0.16719225600000034
-0.16800000000000007,-0.2086400000000002,-0.1505285760000003
-0.2480000000000001,-0.2026600000000002,-0.1504360000000003
-0.18000000000000008,-0.21370000000000022,-0.1550648000000003
-0.21200000000000008,-0.2081800000000002,-0.1504360000000003
-0.20600000000000007,-0.19902000000000025,-0.1429142000000003
-0.2600000000000001,-0.24210000000000026,-0.16316520000000034
-0.21800000000000008,-0.19350000000000023,-0.17415860000000036
-0.2500000000000001,-0.22576000000000024,-0.15680060000000032
-0.21400000000000008,-0.2136600000000002,-0.1466067200000003
-0.19400000000000006,-0.2307800000000002,-0.14223040000000028
-0.22000000000000008,-0.20886000000000018,-0.13511888000000027
-0.2580000000000001,-0.2353000000000003,-0.1542652800000003
-0.24400000000000013,-0.2498200000000003,-0.16465904000000034
-0.21200000000000008,-0.2247600000000003,-0.1482478400000003
-0.2500000000000001,-0.23410000000000028,-0.1466067200000003
-0.20400000000000007,-0.20294000000000023,-0.13927638400000028
-0.2300000000000001,-0.24766000000000032,-0.15901190400000034
-0.20800000000000007,-0.24038000000000026,-0.16972547200000038
-0.2440000000000001,-0.22464000000000026,-0.15280931200000034
-0.18800000000000008,-0.2067000000000002,-0.13511888000000027
-0.2380000000000001,-0.25330000000000036,-0.1542652800000003
-0.2280000000000001,-0.23578000000000027,-0.16465904000000034
-0.2640000000000001,-0.24840000000000031,-0.1482478400000003
-0.2360000000000001,-0.23526000000000027,-0.1465520160000003
-0.18600000000000005,-0.23634000000000027,-0.15642608800000032
-0.2060000000000001,-0.2186800000000002,-0.14083544800000028
-0.2520000000000001,-0.27574000000000043,-0.1785917280000004
-0.27600000000000013,-0.2670800000000003,-0.16079188800000035
-0.2300000000000001,-0.2488400000000003,-0.17162538400000035
